Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[replicate]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[developmental stage]	Characteristics[growth condition]	Characteristics[organism part]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[sampling time point]	Unit[time unit]	Term Source REF	Term Accession Number
Sample 1	ERS1417348	SAMEA4518169	Arabidopsis thaliana	1	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 1	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 1	sequencing assay	ERX1767702	WM_S2_1_0LD.bam	WM_S2_1_0LD.bam	ERR1698194	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/004/ERR1698194/ERR1698194_1.fastq.gz	40	21	0	day	EFO	UO_0000033
Sample 1	ERS1417348	SAMEA4518169	Arabidopsis thaliana	1	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 1	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 1	sequencing assay	ERX1767702	WM_S2_1_0LD.bam	WM_S2_1_0LD.bam	ERR1698194	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/004/ERR1698194/ERR1698194_2.fastq.gz	40	21	0	day	EFO	UO_0000033
Sample 10	ERS1417349	SAMEA4518170	Arabidopsis thaliana	2	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 10	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 10	sequencing assay	ERX1767703	WM_S2_2_2LD.bam	WM_S2_2_2LD.bam	ERR1698195	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/005/ERR1698195/ERR1698195_1.fastq.gz	40	21	2	day	EFO	UO_0000033
Sample 10	ERS1417349	SAMEA4518170	Arabidopsis thaliana	2	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 10	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 10	sequencing assay	ERX1767703	WM_S2_2_2LD.bam	WM_S2_2_2LD.bam	ERR1698195	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/005/ERR1698195/ERR1698195_2.fastq.gz	40	21	2	day	EFO	UO_0000033
Sample 11	ERS1417350	SAMEA4518171	Arabidopsis thaliana	3	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 11	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 11	sequencing assay	ERX1767704	WM_S2_3_2LD.bam	WM_S2_3_2LD.bam	ERR1698196	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/006/ERR1698196/ERR1698196_1.fastq.gz	40	21	2	day	EFO	UO_0000033
Sample 11	ERS1417350	SAMEA4518171	Arabidopsis thaliana	3	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 11	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 11	sequencing assay	ERX1767704	WM_S2_3_2LD.bam	WM_S2_3_2LD.bam	ERR1698196	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/006/ERR1698196/ERR1698196_2.fastq.gz	40	21	2	day	EFO	UO_0000033
Sample 12	ERS1417351	SAMEA4518172	Arabidopsis thaliana	4	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 12	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 12	sequencing assay	ERX1767705	WM_S2_4_2LD.bam	WM_S2_4_2LD.bam	ERR1698197	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/007/ERR1698197/ERR1698197_1.fastq.gz	40	21	2	day	EFO	UO_0000033
Sample 12	ERS1417351	SAMEA4518172	Arabidopsis thaliana	4	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 12	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 12	sequencing assay	ERX1767705	WM_S2_4_2LD.bam	WM_S2_4_2LD.bam	ERR1698197	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/007/ERR1698197/ERR1698197_2.fastq.gz	40	21	2	day	EFO	UO_0000033
Sample 13	ERS1417352	SAMEA4518173	Arabidopsis thaliana	1	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 13	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 13	sequencing assay	ERX1767706	WM_S2_1_3LD.bam	WM_S2_1_3LD.bam	ERR1698198	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/008/ERR1698198/ERR1698198_1.fastq.gz	40	21	3	day	EFO	UO_0000033
Sample 13	ERS1417352	SAMEA4518173	Arabidopsis thaliana	1	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 13	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 13	sequencing assay	ERX1767706	WM_S2_1_3LD.bam	WM_S2_1_3LD.bam	ERR1698198	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/008/ERR1698198/ERR1698198_2.fastq.gz	40	21	3	day	EFO	UO_0000033
